date,home_team,score,away_team
19-08-2023,Liverpool,3 - 1,Bournemouth
27-08-2023,Newcastle,1 - 2,Liverpool
03-09-2023,Liverpool,3 - 0,Aston Villa
16-09-2023,Wolves,1 - 3,Liverpool
24-09-2023,Liverpool,3 - 1,West Ham
30-09-2023,Tottenham,2 - 1,Liverpool
08-10-2023,Brighton,2 - 2,Liverpool
21-10-2023,Liverpool,2 - 0,Everton
29-10-2023,Liverpool,3 - 0,Nott'm Forest
05-11-2023,Luton,1 - 1,Liverpool
12-11-2023,Liverpool,3 - 0,Brentford
25-11-2023,Man City,? - ?,Liverpool
12-08-2023,Brighton,4 - 1,Luton
25-08-2023,Chelsea,3 - 0,Luton
01-09-2023,Luton,1 - 2,West Ham
16-09-2023,Fulham,1 - 0,Luton
23-09-2023,Luton,1 - 1,Wolves
30-09-2023,Everton,1 - 2,Luton
03-10-2023,Luton,1 - 2,Burnley
07-10-2023,Luton,0 - 1,Tottenham
21-10-2023,Nott'm Forest,2 - 2,Luton
29-10-2023,Aston Villa,3 - 1,Luton
05-11-2023,Luton,1 - 1,Liverpool
11-11-2023,Man United,1 - 0,Luton
25-11-2023,Luton,? - ?,Crystal Palace
11-08-2023,Burnley,0 - 3,Man City
19-08-2023,Man City,1 - 0,Newcastle
27-08-2023,Sheffield United,1 - 2,Man City
02-09-2023,Man City,5 - 1,Fulham
16-09-2023,West Ham,1 - 3,Man City
23-09-2023,Man City,2 - 0,Nott'm Forest
30-09-2023,Wolves,2 - 1,Man City
08-10-2023,Arsenal,1 - 0,Man City
21-10-2023,Man City,2 - 1,Brighton
29-10-2023,Man United,0 - 3,Man City
04-11-2023,Man City,6 - 1,Bournemouth
12-11-2023,Chelsea,4 - 4,Man City
25-11-2023,Man City,? - ?,Liverpool
14-08-2023,Man United,1 - 0,Wolves
19-08-2023,Tottenham,2 - 0,Man United
26-08-2023,Man United,3 - 2,Nott'm Forest
03-09-2023,Arsenal,3 - 1,Man United
16-09-2023,Man United,1 - 3,Brighton
23-09-2023,Burnley,0 - 1,Man United
30-09-2023,Man United,0 - 1,Crystal Palace
07-10-2023,Man United,2 - 1,Brentford
21-10-2023,Sheffield United,1 - 2,Man United
29-10-2023,Man United,0 - 3,Man City
04-11-2023,Fulham,0 - 1,Man United
11-11-2023,Man United,1 - 0,Luton
26-11-2023,Everton,? - ?,Man United
12-08-2023,Newcastle,5 - 1,Aston Villa
19-08-2023,Man City,1 - 0,Newcastle
27-08-2023,Newcastle,1 - 2,Liverpool
02-09-2023,Brighton,3 - 1,Newcastle
16-09-2023,Newcastle,1 - 0,Brentford
24-09-2023,Sheffield United,0 - 8,Newcastle
30-09-2023,Newcastle,2 - 0,Burnley
